['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-11-03', '13-54-54', 'Домодедово после Каширской развязке ДТП серьёзная пятитонник лежит на боку и легковушка на обочине обижает либо под скаду поплавки либо через городок через переезд здесь пробка минут на 20'],
['2021-11-03', '13-57-49', 'Добрый день поосторожней Светофор Борисовское шоссе Ивана Болотникова не работает'],
['2021-11-03', '13-58-18', 'на Советской не работает'],
['2021-11-03', '14-10-00', 'контора Экипаж осторожно'],
['2021-11-03', '14-10-55', 'Советская проезд Мишина не работает'],
['2021-11-03', '14-19-16', 'стоит Московское шоссе 38 на дворах там нет никого машина-дом поход тусит'],
['2021-11-03', '14-20-03', 'проезд Мишина Советской не работает светофор Будь аккуратнее и Ворошилова проезд Мишина тоже не работает светофор'],
['2021-11-03', '14-23-45', 'Ворошилова нигде нет света поэтому не работают светофоры Будь аккуратнее'],
['2021-11-03', '14-24-59', 'старый конторе дв-ком Руси стоят не пойму наверное Московский чтобы приехали на проверку'],
['2021-11-03', '14-28-16', 'против кафе Вояж стоит экипаж'],
['2021-11-03', '14-33-04', 'проезд Мишина Советское проезд Мишина Ворошилова не работает'],
['2021-11-03', '14-36-39', 'вообще Ворошилова Света не Джона Рида Горького Светофор работает Ворошилова'],
['2021-11-03', '14-39-55', 'Центральная Борисовское шоссе работает экипаж'],
['2021-11-03', '14-45-56', 'поворот на приветливые работает equipage всех подряд'],
['2021-11-03', '15-02-42', 'уехал с Московского шоссе где-то значит начинает работать'],
['2021-11-03', '15-04-20', 'шоссе 33 возле дивы два экипажа'],
['2021-11-03', '15-19-50', 'Борисовское шоссе Ивана Болотникова не работает светофор Будь аккуратней'],
['2021-11-03', '15-20-20', 'на мосту на развязке работает Экипаж и съезд если сторону Серпухова снижать прямо внизу тоже работает Экипаж досматривать машину'],
['2021-11-03', '15-30-46', 'Калиновская база около печного центра и горячо Экипаж техничка из Протвино в сторону Серпухова'],
['2021-11-03', '15-44-15', 'Тульская 1 equipage'],
['2021-11-03', '16-58-45', '8 батальон чисто и на горке тоже нет никого всё свободна'],
['2021-11-03', '17-12-47', 'на пятачке equipage'],
['2021-11-03', '18-07-31', 'актуально'],
['2021-11-03', '18-21-39', 'на развязке Где Паша работает'],
['2021-11-03', '18-24-01', 'Ворошилова спрятались на пешеходов ловит'],
['2021-11-03', '18-31-46', 'Связной актуальная'],
['2021-11-03', '18-37-27', 'Дом быта Луганск'],
['2021-11-03', '18-38-26', 'из города'],
['2021-11-03', '18-58-49', 'Ворошилова где мойка перед мостом Ленинск Комсомола ехать стоит экипаж'],
['2021-11-03', '19-19-05', 'коллеги Добрый вечер новый мост перед Пролетарской перед гоночных который ДТП Татарстана великоват на мигалку стоят повнимательней'],
['2021-11-03', '19-20-32', 'Корстон где заезд перекресток встали зебру посуду'],
['2021-11-03', '19-35-28', 'батальон Ford Transit две легковушки вышли на улицу'],
['2021-11-03', '19-46-26', 'в поле два экипажа'],
['2021-11-03', '20-12-02', 'возле вояжа стоят 2 экипажа на светофоре со стороны со стороны Заборье'],
['2021-11-03', '20-16-42', 'вояж на Центральная актуально работает 2 машинки'],
['2021-11-03', '20-42-28', 'батальон 4 экипажа'],
['2021-11-03', '21-26-09', 'батальон кого интересует чисто'],
['2021-11-03', '21-52-58', 'Весенняя 2-й Северный проезд стоят работает или палочки'],
['2021-11-03', '21-56-47', 'на выезд из города по Московскому шоссе стоит экипаж'],
['2021-11-04', '06-26-20', 'Московская Красноармейская Экипаж выборочно'],
['2021-11-04', '07-55-51', 'въезд Протвино перед кругом перед самой заправкой Экипаж стоит'],
['2021-11-04', '08-04-32', 'Доброе утро хорошей смены борисовского от 8 8 батальона до связано М2 всё чисто'],
['2021-11-04', '08-23-22', 'Бутурлино на горочке где выездная камера стоит батальон тормозит на выезд'],
['2021-11-04', '08-30-46', 'Коллеги доброе утро Северное шоссе 1 около заправки iPad приземлился повнимательнее'],
['2021-11-04', '08-56-24', 'ребят домой коррекционная стоят но никого не останавливает сидят машине'],
['2021-11-04', '09-14-34', 'контора Экипаж работает'],
['2021-11-04', '09-44-16', 'сады эти дача экипаж'],
['2021-11-04', '10-23-57', 'ребят на Береговое где свалка спрятались в гаражах стоят на месте пока не работают но что-то смотрит'],
['2021-11-04', '11-09-48', 'два экипажа стоит'],
['2021-11-04', '11-27-44', 'Чехов работает Экипаж и по грузовикам и по такси по легковым 8 батальон там стал'],
['2021-11-04', '12-27-51', 'Всем доброго дня на дисконте стоят посмотрит пешеходных в сторону вокзала'],
['2021-11-04', '14-07-44', 'Борисовская горка чисто'],
['2021-11-04', '14-28-16', 'дисконт вроде бы чисто уехали не видать'],
['2021-11-04', '14-30-44', 'Лукьяново весы стоят на скорость'],
['2021-11-04', '14-45-52', 'центр Чернышевский Экипаж стоит'],
['2021-11-04', '15-32-13', 'Добрый вечер смотрите Аккуратнее Заказ будет с гостиницы Ока до аэропорта Домодедово это мошенники за наличный за наличку заказ а потом звонит мог давайте мы переведем вам сообщить нам номер карты там тот ну короче сразу н**** были посланы и всё и на этом Разговор закончился смотрите аккуратнее не берите'],
['2021-11-04', '16-33-33', 'Борисовское шоссе 35-37 куста экипажа работает по этим по пешеходам смотрят'],
['2021-11-04', '16-39-42', 'Лукьяново Пятёрочка внизу стоит Экипаж кого-то Стрежевой'],
['2021-11-04', '16-40-18', 'Борисовское шоссе между домами 35-37 Экипаж продолжает работать но вот остановили даже нашего коллегу машину такси'],
['2021-11-04', '17-02-19', '35-37 equipage сторону Corsa на пешеходах'],
['2021-11-04', '17-14-56', 'Будьте осторожны по Советской вниз от росинки пересечение перекрёстков Луначарского идут два типа один длинноногий под МК такой красной куртке в бейсболке что ли что-то такое на башке у него тупо головой второй поменьше ростом они короче в г****** пьяные бросаются на машины выходят на дорогу и прямо бросается будь осторожнее Если что можешь прямо помада Дальник убить не жалею'],
['2021-11-04', '18-07-09', 'Авангард дачи экипаж форд-транзит'],
['2021-11-04', '18-14-42', 'Большевик после линии в сторону города равно после остановки Экипаж стоит'],
['2021-11-04', '18-17-47', 'пересечение прогонной и Центральной'],
['2021-11-04', '18-29-04', 'пересечение со вторым пылевым переулкам заболели типаж'],
['2021-11-04', '18-53-27', 'сейчас едет по старому Московскому шоссе в районе Меридиан больше между народом и Б классом Будьте осторожны там кто-то вообще в лоскуты талиба Толи мужик вообще идёт с одной стороны дороги на другую осторожно'],
['2021-11-04', '19-09-50', 'поворотно Авангард экипаж'],
['2021-11-04', '19-15-09', 'старый Московскому шоссе после Василевского после Лукойла Экипаж правой стороны'],
['2021-11-04', '19-17-35', 'Пограничная 1 архипо-осиповка на работу такси'],
['2021-11-04', '19-36-05', 'Авангард'],
['2021-11-04', '19-49-34', 'ОАО на ногинке мойка котам Я правда не отстой страны ехал Ну по-моему там три экипажная мигалках вроде даже конусы точно не знаю там всех подряд что-то их там прямо много-много'],
['2021-11-04', '20-01-45', 'автомойка актуально работает коридор загоняет к мойке проверяют в на выезд из города'],
['2021-11-04', '20-08-15', 'какашка коридор актуально но больше нюхают даже документы не стали смотреть голосом спросил как всё в порядке ехать дальше'],
['2021-11-04', '21-02-12', 'чисто'],
['2021-11-04', '21-46-43', 'Витебское шоссе напротив Газпрома стоят'],
['2021-11-04', '22-04-51', 'Московское шоссе воинская часть четыре руки'],
['2021-11-04', '23-52-13', 'Доброе утро на вокзале на Ворошилова в сторону бобренко сломался автобус Эльдорадо перегородил полу собеседник только по встречке Будьте осторожны'],
['2021-11-05', '05-35-36', 'Марио equipage работает'],
['2021-11-05', '05-45-10', 'поворотное Авангард в сторону Чехова работает один гепард'],
['2021-11-05', '06-45-24', 'Рижское шоссе Газпром заправка актуальной из города'],
['2021-11-05', '06-49-02', 'коллеги на светофоре журнале до Ворошилова в правой полосе сторону вокзала аварии Два автобуса Будьте осторожны'],
['2021-11-05', '07-31-16', 'Всем доброе утро техничка по Ворошилова мимо корстона поехала в сторону вокзала'],
['2021-11-05', '08-05-01', 'Доброе утро коллеги техничка Московское шоссе заправка Shell заехать'],
['2021-11-05', '08-38-37', 'Бутурлино поворачиваешь направо в сторону трассы светофоре здесь стоит экипаж'],
['2021-11-05', '08-51-39', 'После заправки мириданс техничка'],
['2021-11-05', '09-02-05', 'Доброе утро дисконт Экипаж приземлился на пешехода ещё работать будет'],
['2021-11-05', '09-27-52', 'Экипаж десятку наркоту ещё'],
['2021-11-05', '09-36-27', 'Всем доброе утро кому интересно на восьмом это Лене всё чисто'],
['2021-11-05', '09-44-47', 'в сторону вокзала equipage'],
['2021-11-05', '09-47-51', 'дисконт в сторону вокзала два гаишника стоят палят пешехода'],
['2021-11-05', '10-03-40', 'готовый Ты где скажи я приеду прикурю пиши в личку'],
['2021-11-05', '10-11-50', 'торговый центр Город трясут микроавтобус'],
['2021-11-05', '10-18-42', 'Экипаж продолжает работать'],
['2021-11-05', '10-28-24', 'ребят между татнефти ноет Чернышевской или не большевиком стоят и таксисты всех остановят вот меня остановили проверили документы вроде всё нормально аккуратней'],
['2021-11-05', '10-28-27', 'работает оформляют кого-то'],
['2021-11-05', '10-29-11', 'техничка tc-tc город пока в машине'],
['2021-11-05', '10-49-39', 'Красного Текстильщика 15 equipage стоит напротив Пятерочки смотрят пешеход ку с детской поликлиники Будь внимателен'],
['2021-11-05', '11-30-07', 'Всем привет вред судимля стоит газелька Экипаж оформляют машину такси'],
['2021-11-05', '14-17-05', '34 авария здесь реанимация приехал гольцы стоят короче в город затруднениях ехать имейте в виду'],
['2021-11-05', '14-45-31', 'Ребят подскажите как судимля уезжаешь где-то MP4 сезон а там менты газелька слева в восьмом этаже он стоит или уехал'],
['2021-11-05', '15-06-27', 'Комфорт стоял это напротив заездов концертной 4 что-то там этих короче посёлка этого типа ну я приезжал два раза никого там не видел но он тонированный может там денег бухали они внутри спокойно проехал туда и обратно'],
['2021-11-05', '15-15-41', 'Ну это было последний раз минут 20 назад я видел это спорт'],
['2021-11-05', '15-15-52', 'лошади поёт'],
['2021-11-05', '15-28-59', 'в сторону площади поехал'],
['2021-11-05', '15-29-00', 'сады Авангард Ford Ford Transit'],
['2021-11-05', '18-47-52', 'внизу стоит Экипаж склады Дикси'],
['2021-11-05', '19-47-54', 'моста поворот на ногинку налево ДТП аккуратнее'],
['2021-11-05', '20-05-06', 'фото ногинку авария'],
['2021-11-05', '20-08-27', 'Татнефть equipage'],
['2021-11-05', '20-27-25', 'ногинке на авария Экипаж встал оформлять видео но поаккуратней может навозу'],
['2021-11-05', '20-49-43', 'внимательно говорят очень даже коварная скотина Так что ухи востро держите'],
['2021-11-05', '21-30-10', 'Кто на Москву поедет где склады Дикси ДТП очень сильно C200 им лучше объезжать через петрухино скорее всего там будет на выезд проще потому что здесь сейчас будет пробка очень большая'],
['2021-11-05', '22-34-24', 'бронзит на Береговой где автосервис спрятался уже кого-то оформляется'],
['2021-11-06', '00-20-17', 'Ворошилова 143 здесь на парковке как на ленту идти экипажи к работает что-то шкале восстановили смотрю даже с открытым багажником стоит видно опять досмотришь чтобы такое'],
['2021-11-06', '07-20-50', 'перекресток Ворошилова Горького Центральная корпоративный магазин Старт с вокзала до стоит сотрудник ДПС без машины просто палочкой имейте в виду что стоит хрен его знает'],
['2021-11-06', '07-53-58', 'Как вставить Renault мигалку'],
['2021-11-06', '07-55-16', 'ярче станет никого'],
['2021-11-06', '08-07-14', '8 батальон Экипаж начала работать в сторону города'],
['2021-11-06', '09-03-45', 'с двух сторон актуально'],
['2021-11-06', '09-08-28', 'из города работает три или четыре экипажа'],
['2021-11-06', '10-19-04', 'Клименок в Протвино заправка Спектр двое сотрудников работает'],
['2021-11-06', '10-38-04', 'восьмая медсанчасть уехать с болота'],
['2021-11-06', '10-40-20', 'Доброго дня в конце Протвино поворот на Оболенск Экипаж стоит'],
['2021-11-06', '10-46-48', 'улица Подольская где поворот на хлебозавод Там стоят'],
['2021-11-06', '11-18-51', '2 школа Кохма'],
['2021-11-06', '11-21-33', 'Ржевская 44 авария занята правая сторона в сторону Большевистской осторожней'],
['2021-11-06', '12-04-24', 'Добрый день а кому мойкано Ногинске Экипаж работает кого-то оформляют'],
['2021-11-06', '12-19-20', 'Рестор'],
['2021-11-06', '13-14-49', 'батальон чисто'],
['2021-11-06', '13-18-29', 'развилка в родионовке на остановке как всегда стоят за поворотом'],
['2021-11-06', '14-21-02', 'Оборонный Московское шоссе авария опять такси Яндекс'],
['2021-11-06', '15-49-27', 'поворот сады Авангард на экипаж'],
['2021-11-06', '16-05-25', 'Борисова на горке на выезде на трассу 72'],
['2021-11-06', '16-31-10', 'Борисовское шоссе заводского проезда аварии поаккуратней заводского проезда на Борисовской немножко затруднительно выехать'],
['2021-11-06', '16-48-07', 'Центральная 179 коридорчик выстроили'],
['2021-11-06', '17-51-01', '79.000'],
['2021-11-06', '18-02-52', 'коллеги Добрый вечер с Ворошилова как на центральную поворачивайте направо сразу коридор повнимательней'],
['2021-11-06', '18-49-36', 'Центральная 179 Ещё работаю'],
['2021-11-06', '19-01-40', 'володарки в сторону первой Московской возле собора стоят тормозят выборочно'],
['2021-11-07', '00-42-32', 'Советская где металлистка восприняли постоянно'],
['2021-11-07', '07-48-17', 'поехал по Северному шоссе в сторону вокзала'],
['2021-11-07', '08-10-19', 'resavska где штрафстоянка в сторону области стоит Экипаж газелька проверяет грузовые и легковые'],
['2021-11-07', '08-51-12', '8 батальон Ford Transit стоит работают из города'],
['2021-11-07', '09-19-12', 'Борисовское шоссе на горке стоит Экипаж работает в сторону города'],
['2021-11-07', '09-22-03', 'Ленинского Комсомола около в Аргинская там где помойка стоит экипаж'],
['2021-11-07', '09-22-41', 'на улице Ленина Большевике поворачивает'],
['2021-11-07', '09-31-52', 'Комсомол А где Психушка мусорка вот прямо за мусоркой ребята на Форде стоят Будьте аккуратней'],
['2021-11-07', '09-34-07', 'Ворошилова мойка самообслуживания Экипаж город стоит'],
['2021-11-07', '09-34-37', 'РЖД мойка стоят'],
['2021-11-07', '09-41-53', 'на проезде Мишина где пятёрка двухэтажная стоят'],
['2021-11-07', '09-42-54', 'нужен Экипаж стоит Ленинского Комсомола'],
['2021-11-07', '09-43-32', 'Весенняя где гаражи Экипаж работает спрятались За гаражом'],
['2021-11-07', '09-54-56', 'мойка Ленинского Комсомола до сих пор стоят'],
['2021-11-07', '09-59-36', 'экипаж'],
['2021-11-07', '10-00-36', 'Ворошилова мойка самообслуживания чисто'],
['2021-11-07', '10-16-44', 'едете заправка Татнефть Ford Transit стоит две стороны сигарет всех подряд легковые грузовые нюхает'],
['2021-11-07', '10-25-26', 'Стоян'],
['2021-11-07', '10-37-23', 'вторая школа Круг стоят'],
['2021-11-07', '10-37-38', 'Большевик улица Оранжерейная тормозят две стороны Ну больше нюхают'],
['2021-11-07', '10-42-34', 'Техническая 8 батальон работает по грузовикам'],
['2021-11-07', '10-47-07', '8 медсанчасть около гаража до сих пор работает экипаж'],
['2021-11-07', '10-53-44', 'калинова заправка Татнефть 2 транзита 4 Spectra в обе стороны'],
['2021-11-07', '10-57-14', 'экипаж'],
['2021-11-07', '11-19-11', 'Татнефть актуально'],
['2021-11-07', '11-57-08', 'шоссе Ивановская деревня если ехать из двориков в сторону вокзала укладка асфальта на тротуаре движение затруднено в сторону вокзала'],
['2021-11-07', '11-58-36', 'Татнефть активны в четыре руки работают'],
['2021-11-07', '12-07-59', 'поворот на дракино 2 Ford транзита 102 7 работаю'],
['2021-11-07', '12-09-26', 'конченых инфорса Экипаж работает'],
['2021-11-07', '12-21-07', 'на улице Карпова напротив техничка стоит но по грузовым смотрю'],
['2021-11-07', '12-25-08', 'поворот на Карпова'],
['2021-11-07', '12-40-25', 'актуально с 2 сторон'],
['2021-11-07', '13-18-39', 'Северное шоссе 400 поворот на сады Авангард тоже чист'],
['2021-11-07', '13-20-35', 'шоссе в районе поворота на деревне Ивановское от тротуара делать в сторону вокзала полоса перекрыта Ну проскакивает Между другом по встречке'],
['2021-11-07', '13-26-20', 'поворот на дракино Татнефть актуально'],
['2021-11-07', '13-30-43', 'центральный офис скорой помощи Stalker'],
['2021-11-07', '13-33-52', '8 батальон чисто горку борисовичи Station'],
['2021-11-07', '13-42-35', 'скорая помощь Экипаж актуальна по-моему на пешеходу смотрит'],
['2021-11-07', '13-43-28', 'Всем привет Корстон Ворошилова Связной экипажа катал уже Газель в тормозном за пешехода'],
['2021-11-07', '13-47-24', 'Какая получится'],
['2021-11-07', '14-14-16', 'ногинка 250 завод ЖБИ экипаж в машине пока не работает'],
['2021-11-07', '14-33-36', 'десятый завод актуально только уже два экипажа подготовиться по ходу дела'],
['2021-11-07', '14-37-28', 'техничка поехала со стороны Октябрьской Ворошилова верх от мойки отмыть теперь постом 101 города'],
['2021-11-07', '15-13-30', 'шоссе поворот на окское авто возле сервиса'],
['2021-11-07', '15-18-27', 'ворота борисовского на Обская с правой стороны где цветочный это типаж'],
['2021-11-07', '15-31-27', 'Экипаж 8 медсанчасть актуальна стоит'],
['2021-11-07', '15-38-14', '60500 м поворот на Обское цветы Экипаж уже кого-то оформляли'],
['2021-11-07', '15-50-57', 'метров поверните направо ребят Советской 2 на пятачке стоит экипаж в сторону города стоматит'],
['2021-11-07', '17-04-56', 'ребят поаккуратней на улице Дзержинского там авария по-моему поворот на физкультуру если я не ошибаюсь там коллега наша Бавария'],
['2021-11-07', '17-41-17', 'Italiano техничка встала'],
['2021-11-07', '17-56-33', 'Дзержинского Фрунзе перекрёсток перекрыта не проехать там авария с той стороны еду но туда никак Короче все подваром обижают надо заворачивать где Войкова там сразу во дворы заезжайте и по дворам'],
['2021-11-07', '18-08-49', 'Всем добрый вечер Ленинского Комсомола в сторону Спартака перекрыта и видимо с обратной стороны тоже перекрыта дом дом что-ли горит'],
['2021-11-07', '19-05-32', 'Всем добрый вечер Уважаемые коллеги в сторону Липецк сторону Тула даже лучше не ездить являл обратно замучаетесь стоять всё стоит выше Липецк туда дальше рэпанулся через Лукьяново такая же хрень вот отсюда снизу всё стоит блин имеете в виду'],
['2021-11-07', '19-33-04', 'Связной Экипаж у корстона из обратной стороны Ворошилова 111 за колобком тоже Экипаж к пешеходам'],
['2021-11-07', '20-14-23', 'едет хорошо даже отлично А вот обратно ж*** я слепец сейчас ехал'],
['2021-11-07', '20-15-45', 'ночи 8 батальона работает в обе стороны'],
['2021-11-07', '22-37-53', 'Доброй ночи Экипаж работает кафе Белое солнце'],
['2021-11-07', '23-23-32', 'торговый центр Город Московское шоссе Экипаж проверяет ремни даже у задних пассажиров'],
['2021-11-08', '05-52-37', 'Краматорск стоят но Ходит уже на по улице смотрит на автомобили'],
['2021-11-08', '06-49-55', 'Коллеги доброе утро Поворот с Ворошилова улица на тяговую как в сторону двориков ехать перед поворотом ДТП затруднения имеются повнимательней'],
['2021-11-08', '07-55-20', 'Весенняя 52 ДТП на одностороннем движении'],
['2021-11-08', '08-12-48', 'контора екипаж в город'],
['2021-11-08', '08-42-29', 'Екатерина дашковская'],
['2021-11-08', '09-16-43', 'творожные в районе дома 28 от dixy.ru перекрытые водоканал капает Так что с одностороннего уезжайте поворачивается Возрождение только имейте в виду'],
['2021-11-08', '10-12-13', '28 перекрыли с 2 сторон не проехать по прямой поэтому только бежать'],
['2021-11-08', '10-39-34', 'авангард это'],
['2021-11-08', '11-05-28', 'мебельная фабрика сомики посты посты припарковался'],
['2021-11-08', '11-09-28', 'уже работают'],
['2021-11-08', '11-13-58', 'улица Оборонная перекопали Так что кто поедет на новый мост со стороны обороны где одностороннее движение не проедете'],
['2021-11-08', '13-28-15', 'Подольская Горького авария сторону болота затруднение проезда первый Серпуховский попал'],
['2021-11-08', '13-28-57', 'развилка керамзит Мирный Экипаж стал'],
['2021-11-08', '13-32-58', 'поворот на сады Авангард стоит Ford Transit на счёт сидят в машине мокнуть видать нехотя'],
['2021-11-08', '14-23-16', '7 батальон чисто кому интересно'],
['2021-11-08', '14-37-10', 'блин на ногинке только-что ебались короче где спортивная корпус 1 там на перекрёстке прямо Будьте Аккуратнее Да и пробочка объехать затруднительно немного'],
['2021-11-08', '14-49-25', 'на балабановское повороте техничка Ford стоит Пока никого не останавливают'],
['2021-11-08', '15-01-40', 'Всем привет Вопрос не по теме может кто знает где можно в аренду машину ситимобил взять в Серпухове'],
['2021-11-08', '15-14-29', 'Да напротив Костаная был там не дают Они ссылаются что у меня исполнительный лист какой-то там ну по факту я ему открываю госуслуги Я говорю у меня нет никаких задолженности вот смотрите где-то они нашли там задолженность как будет из-за этого не дают'],
['2021-11-08', '15-16-00', 'узнать на Екатерины Дашковой 15 GTP'],
['2021-11-08', '15-19-15', 'Всем привет авария пересечение улицы Советской и улицы Чехова перекрыта правая полоса Ну короче не туда советскую Ясно Чехова можно подвернуть придётся объезжать по встречке кто-то кого-то не пропустил'],
['2021-11-08', '16-18-34', 'Советская авария актуально Ну виноваты останемся'],
['2021-11-08', '16-20-29', 'минимальное повреждение у малого вся морда разбита'],
['2021-11-08', '16-30-03', 'сады Фортранс'],
['2021-11-08', '16-37-34', 'остановил внимательно смотрел путевой-лист'],
['2021-11-08', '16-37-39', 'ворота мангарт они останавливают грузовые такси дорогие машины не трогают'],
['2021-11-08', '16-41-28', 'конченых 144 где баня поворот на западную конечно остановку стоит экипаж'],
['2021-11-08', '16-53-02', 'вечер коллеги улица Строительная дом 8 или 10 не помню уже там Экипаж работает кого-то оформлять'],
['2021-11-08', '16-59-04', '144 поворотно баня до сих пор работает'],
['2021-11-08', '17-10-50', 'Северном шоссе глухая пробка в сторону вокзала от самого Ролтона'],
['2021-11-08', '17-21-48', 'Google Пеппа'],
['2021-11-08', '17-26-31', 'когда-то Кто знает что там за пробка до вокзала там что ДТП просто той стороны еду с вокзала туда что-то нет'],
['2021-11-08', '17-53-34', 'заправка Татнефть equipage работаю'],
['2021-11-08', '17-58-21', 'Посоветуй там Авария была'],
['2021-11-08', '17-59-06', 'северную сторону вокзала там полоса перекрыта видимо кладут асфальт на тротуаре ведутся ремонтные дороги что-то такое-то Одно из двух она уже всё весь день там такая Ботва'],
['2021-11-08', '18-13-22', 'Экипаж работает'],
['2021-11-08', '18-20-21', 'заправка Татнефть Экипаж стоит пока сидят машине'],
['2021-11-08', '19-08-22', 'мой батальон Ford Transit работают в обе стороны'],
['2021-11-08', '20-34-02', 'Борисовское шоссе улица Красноармейская Садовая светофор не работает Побудь повнимательней'],
['2021-11-08', '21-31-14', 'стоят'],
['2021-11-08', '22-03-24', 'Связной актуально'],
['2021-11-08', '22-03-40', 'Связной чисто'],
['2021-11-08', '22-29-13', 'Московское шоссе выезд из Серпухова поворот на лифтовой завод стоит один Экипаж работает максимально'],
['2021-11-09', '06-24-34', 'завод актуально'],
['2021-11-09', '06-48-18', 'на развязке Ford стоит'],
['2021-11-09', '06-51-56', 'утро Октябрьская 22 на пешеходном переходе стоит инспектор смотрит на пешеход'],
['2021-11-09', '07-33-52', 'школа экипаж'],
['2021-11-09', '07-36-58', 'уши д техничка стало только что'],
['2021-11-09', '07-55-30', 'техничка проехал по Ленинский комсомол в сторону большевика'],
['2021-11-09', '08-23-16', 'Коллеги доброе утро выезд из города через Бутурлино перед светофором пробка от магазина даже дальше так что Выбирайте пути объезда'],
['2021-11-09', '08-32-54', 'утро всем техничка находится за вечным огнем на ногинке как на нефёдова ехать она там занимается с бензовозом'],
['2021-11-09', '09-10-04', 'напротив стадиона Спартак на парковке инфекционной больницы припарковался Экипаж возможно Сейчас начнёт работать'],
['2021-11-09', '09-10-59', 'Борисовское шоссе около 142 дома корпус 3 стоят'],
['2021-11-09', '09-11-12', 'поворот на сады Авангард Экипаж три руки в обе стороны но старается по грузовыми так понял'],
['2021-11-09', '09-26-48', 'Центральная 142 3 корпус чисто'],
['2021-11-09', '09-35-58', 'Советская 1 внизу экипаж'],
['2021-11-09', '09-41-09', 'Борисовна горочки Ford Transit актуально работают активно кого успевают'],
['2021-11-09', '10-08-46', '4 гаражи работы коттедж'],
['2021-11-09', '10-30-09', 'после волковского в сторону торосы экипажи работает'],
['2021-11-09', '10-31-40', 'напротив водоканала с двух сторон работает'],
['2021-11-09', '10-33-42', 'Чернышевская 5 звёзд экипаж'],
['2021-11-09', '10-34-18', 'на Авангард и поворотно Шарапова стоят'],
['2021-11-09', '10-50-16', 'поворот на 108 поставить крепость'],
['2021-11-09', '10-52-31', 'на обском работает напротив тоник заправки'],
['2021-11-09', '11-11-00', 'ребят Северное шоссе пробка уже Я не знаю откуда опять это тротуар щеки имеете в виду'],
['2021-11-09', '11-11-13', 'вокзале где автобусы'],
['2021-11-09', '11-21-07', 'уезжаем и прямо сейчас где магазин верный Экипаж только-только прям стал начал работать в ресторанах'],
['2021-11-09', '11-27-57', 'красный Текстильщик 19 напротив детской поликлиники прямо переходники стоят'],
['2021-11-09', '11-33-57', 'едет по Ленинского Комсомола в сторону ворот'],
['2021-11-09', '11-40-03', 'улица Красный Текстильщик 19 прямо через дорогу напротив входа в детскую поликлинику Ну где раньше арбузная палатка стояла на парковке Solaris стажёром'],
['2021-11-09', '11-43-27', 'техничка успешно Бор проехала Сейчас посмотрим или прямо на Дашковой или на Большевик свернёт А может она чернигову'],
['2021-11-09', '11-43-31', 'техничка свернула на Большевик скорее всего на старую контору поедут'],
['2021-11-09', '11-44-53', 'актуально техничка стоит работает кого-то оформляются старая контора'],
['2021-11-09', '12-23-53', 'техничка актуально старый контора'],
['2021-11-09', '12-45-21', 'да-да-да актуальна до сих пор стоит Ну что ты сидят в машине не работают и не оформляют никого просто что-то сидят в машине'],
['2021-11-09', '12-51-01', 'Перекур у технички закончился заработали в сторону города'],
['2021-11-09', '12-55-17', 'техничка продолжает стоять на старой конторе на повороте на Карпово опять сидят в машине работают'],
['2021-11-09', '13-15-32', 'Вернее на Северном шоссе в сторону б-класс собирается большая пробка из-за чайников которые боятся проехать два ряда аккуратней'],
['2021-11-09', '14-43-18', 'шасси после переезда Экипаж работает в сторону Москвы'],
['2021-11-09', '14-56-29', 'по Пролетарской поехал туда в сторону Красного Текстильщика вроде'],
['2021-11-09', '14-57-38', '42 корпус 3 где обычно из города экипажах стоит что-то на той стороне таксист остановили на этой стороне Ока пятнашки на мотались двоек всего'],
['2021-11-09', '15-05-58', 'техничка на Московском шоссе напротив Пятерочки'],
['2021-11-09', '15-11-30', 'закрыто здесь то ли учебник или что ОМОН росгвардия вернее дпсники школу проверяет'],
['2021-11-09', '15-20-31', 'контора'],
['2021-11-09', '15-25-00', 'Центральная 142 никого нет Все уехали'],
['2021-11-09', '15-36-44', 'Старая школа Круг стоят'],
['2021-11-09', '16-24-40', 'платформа Авангард в обе стороны работают'],
['2021-11-09', '18-33-41', 'сианово напротив Пятерочки стоят'],
['2021-11-09', '18-55-28', 'Связной полёт пешехода'],
['2021-11-09', '19-27-34', 'найти Ануш Аси большая пробка около Ролтона на пешеходе сбили кого-то'],
['2021-11-09', '20-06-19', 'мой какой типаж'],
['2021-11-10', '08-10-01', 'вторая школа вторая школа Круг стоят'],
['2021-11-10', '08-10-47', 'где стоянка такси 72 бывшая стоянке стоят 2'],
['2021-11-10', '08-22-14', 'Доброе утро Химиков 1 Центр медицины труда течёт вода замерзает скользкая уже если Daewoo уезда машины забор Так что Будьте поосторожней'],
['2021-11-10', '08-33-49', 'коллеги Чернышевского 11 стоит стоят два инспектором где красно-белая повнимательней'],
['2021-11-10', '08-40-57', 'мойка на Ворошилова внизу около моста стоит'],
['2021-11-10', '09-02-50', 'нефёдова едет сторону Вечного огня'],
['2021-11-10', '09-05-14', 'техничка в обратную сторону по Дзержинского в сторону роста поедем'],
['2021-11-10', '09-09-55', 'стоит техничку возле баннера типа где таксисты стоят рядом'],
['2021-11-10', '09-41-42', 'опять работаешь'],
['2021-11-10', '09-45-18', 'хорошо'],
